Full Name,Height(inches),Weight(lbs),Reach(inches),Stance,DOB,SLpM.,Str.Acc.,SApM,Str.Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,W,L,D
Tom Aaron,N/A,155,N/A,N/A,"Jul 13, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Record: 5-3-0
Danny Abbadi,5' 11,155,N/A,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0,Record: 4-6-0
Nariman Abbasov,5' 8,155,66,Orthodox,"Feb 01, 1994",3.00,20%,5.67,46%,0.00,0%,66%,0.0,Record: 28-4-0
David Abbott,6' 0,265,N/A,Switch,N/A,1.35,30%,3.55,38%,1.07,33%,66%,0.0,Record: 10-15-0
Hamdy Abdelwahab,6' 2,264,72,Southpaw,"Jan 22, 1993",3.87,52%,3.13,59%,3.00,75%,0%,0.0,Record: 5-0-0 (1 NC)
Mansur Abdul-Malik,6' 2,185,79,Orthodox,"Oct 07, 1997",6.61,54%,4.21,53%,0.00,0%,75%,0.0,Record: 7-0-0
Shamil Abdurakhimov,6' 3,235,76,Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1,Record: 20-8-0
Hiroyuki Abe,5' 6,145,N/A,Orthodox,N/A,1.71,36%,3.11,63%,0.00,0%,33%,0.0,Record: 8-15-3 (1 NC)
Daichi Abe,5' 11,170,71,Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0,Record: 6-2-0
Papy Abedi,5' 11,185,N/A,Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3,Record: 10-4-0
Ricardo Abreu,5' 11,185,N/A,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7,Record: 5-1-0
Klidson Abreu,6' 0,205,74,Orthodox,"Dec 24, 1992",2.05,40%,2.90,55%,0.64,20%,80%,0.0,Record: 15-4-0 (1 NC)
Cyborg Abreu,N/A,N/A,N/A,N/A,"Dec 20, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Record: 0-0-0
Daniel Acacio,5' 8,180,N/A,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0,Record: 30-18-0
John Adajar,5' 9,170,75,Orthodox,"Jun 22, 1991",3.90,52%,6.28,44%,0.00,0%,0%,0.0,Record: 6-2-0
